item,Phon,LDTrt,LDTpe,NMGrt,PDMrt,FLPrt,freqfilms,freqbooks,Nlett,Nphon,OLD20,PLD20,AoA,Freqsubj,IMA
grec,gREk,626.6,0.17,470.2,1155.1,626.5,12.43,26.08,4,4,1.9,1.35,9.6,3.1,3.9
greffe,gREf,729.4,0.13,506.8,1289.2,651.7,3.98,5.54,6,4,1.75,1.25,11.7,3.6,4.5
grêle,gREl,684.3,0.09,499.1,1177.8,654.8,1.78,10.94,5,4,1.7,1.05,7.7,3.0,6.2
grès,gRE,746.6,0.36,499.8,1157.1,738.9,0.31,4.05,4,3,1.7,1,12.3,3.4,2.1
grève,gREv,701.2,0.03,472.2,1077.2,580.3,14.58,22.43,5,4,1.6,1.2,10.4,4.1,5.4
griffe,gRif,682.3,0.06,484.5,1313.1,683.7,1.53,4.25,6,4,1.55,1.05,5.7,3.9,6.5
grill,gRil,706.3,0.09,466.5,1298.8,NA,1.66,0.14,5,4,1.65,1.3,9.2,3.5,5.5
grille,gRij,675.3,0.00,486.0,1260.5,642.5,11,45.07,6,4,1.3,1,7.2,4.0,6.0
grippe,gRip,619.9,0.13,492.1,1146.7,643.8,8.16,5.2,6,4,1.55,1,7.2,3.7,4.5
gris,gRi,606.4,0.03,452.5,1087.0,570.0,13.88,114.05,4,3,1.1,1,4.9,4.6,5.9
grogne,gRON,849.3,0.26,505.6,1273.3,699.2,1.97,6.21,6,4,1.7,1.75,8.0,3.5,3.2
gros,gRo,581.1,0.03,449.5,1080.1,554.6,206.4,246.96,4,3,1.65,1,4.7,5.4,5.2
grotte,gROt,640.2,0.06,467.2,1319.3,648.1,8.96,17.84,6,4,1.65,1.4,7.0,3.1,6.4
groupe,gRup,625.0,0.03,490.0,1193.1,575.7,90.77,86.96,6,4,1.35,1.3,6.3,5.4,4.8
grue,gRy,719.8,0.13,449.4,1256.3,684.8,3.54,2.84,4,3,1.6,1.2,7.1,3.2,6.4
guêpe,gEp,653.2,0.09,492.6,1121.6,570.1,2.73,2.84,5,3,1.95,1.3,5.6,3.2,6.6
guère,gER,760.6,0.35,484.7,1210.4,643.9,17.02,110.68,5,3,1.9,1,10.2,3.8,2.5
guerre,gER,633.8,0.00,482.5,1227.6,646.9,212.82,338.65,6,3,1.95,1,6.9,4.4,5.8
gueule,g9l,622.5,0.03,481.0,1213.3,632.0,121.84,106.22,6,3,1.6,1.45,6.8,5.5,5.2
guide,gid,637.4,0.00,467.2,1119.2,610.3,20.61,19.87,5,3,1.45,1,8.5,4.1,5.1
gym,Zim,624.0,0.00,491.7,1156.0,643.6,9.18,2.23,3,3,1.95,1.1,7.1,4.1,5.9
hache,aS,684.9,0.06,553.7,1216.1,659.4,9.02,11.9,5,2,1.25,1,6.9,3.2,6.5
haie,E,688.2,0.06,515.8,1248.9,674.2,2.6,14.8,4,1,1,1,7.9,3.3,6.2
haine,En,628.3,0.03,528.3,1193.7,673.9,31.49,49.39,5,2,1.4,1,9.6,4.1,3.4
hâle,al,679.2,0.32,539.6,1246.4,NA,0.15,2.84,4,2,1.4,1,12.4,2.8,2.9
hall,ol,618.8,0.09,580.6,1415.8,657.0,9.73,25.81,4,2,1.65,1,9.2,4.3,5.5
halle,al,734.3,0.06,554.1,1368.8,624.3,0.26,1.01,5,2,1.3,1,10.2,3.9,4.0
halte,alt,692.9,0.30,514.4,1251.8,678.5,18.04,14.93,5,3,1.5,1,10.1,3.4,2.8
hanche,@S,691.3,0.03,522.8,1336.5,661.1,3.42,9.59,6,2,1.55,1.1,8.1,4.0,6.2
hargne,aRN,774.5,0.55,587.5,1362.7,807.1,0.42,4.26,6,3,1.95,1.35,12.0,2.9,2.5
harpe,aRp,736.9,0.13,513.2,1220.2,674.3,0.94,4.86,5,3,1.6,1.05,9.1,2.8,5.8
hâte,at,672.1,0.13,544.3,1259.6,692.5,20.93,47.64,4,2,1.35,1,9.9,4.3,2.3
hausse,os,734.6,0.17,533.2,1339.2,644.1,3.57,10.81,6,2,1.4,1,9.5,4.9,3.2
haut,o,609.7,0.00,513.1,1224.2,646.0,139.95,253.24,4,1,1.55,1,4.7,5.8,3.6
havre,avR,768.9,0.46,537.9,1290.6,775.0,0.85,3.04,5,3,1.75,1,12.2,2.9,2.5
herbe,ERb,672.6,0.06,500.3,1151.4,570.0,27.64,86.08,5,3,1.55,1.15,4.7,4.3,6.7
hertz,ERts,808.7,0.46,600.9,1318.6,NA,0.09,0,5,4,2,1.9,12.9,2.8,2.4
heure,9R,654.0,0.30,520.2,1211.2,642.8,415.4,439.86,5,2,1.65,1.05,5.9,6.3,3.9
hier,jER,599.0,0.06,496.3,1189.3,652.8,223.77,92.64,4,3,1.65,1,5.2,6.3,2.9
homme,Om,556.1,0.06,505.8,1265.6,615.5,781.11,852.23,5,2,1.6,1,4.7,5.9,6.7
honte,§t,615.4,0.06,503.6,1153.6,583.7,103.26,82.64,5,2,1.6,1,7.5,4.9,3.1
hors,OR,595.8,0.03,545.0,1149.9,729.8,71.94,92.43,4,2,1.6,1,8.9,5.6,1.6
hôte,ot,640.3,0.06,517.3,1201.0,593.8,13.43,10.81,4,2,1.75,1,10.4,3.1,3.8
hotte,Ot,698.9,0.25,544.9,1247.2,737.9,1,2.43,5,2,1.5,1,6.7,3.3,5.9
houle,ul,759.6,0.48,525.6,1311.2,755.0,0.44,8.85,5,2,1.35,1,12.7,2.4,3.1
housse,us,756.9,0.06,518.4,1276.3,772.4,0.35,3.11,6,2,1.6,1,9.2,3.8,5.7
houx,u,741.1,0.46,512.5,1180.6,825.8,0.07,1.28,4,1,1.55,1,8.1,2.5,5.9
huile,8il,632.3,0.03,520.0,1291.0,623.0,20.32,36.49,5,3,1.6,1.05,8.5,4.6,6.2
huit,8it,647.9,0.13,490.7,1257.8,705.1,58.47,102.5,4,3,1.45,1.1,4.7,5.1,5.1
huître,8itR,638.1,0.00,506.4,1277.7,625.3,1.41,2.7,6,4,2.1,1.65,8.1,3.0,6.7
humble,1bl,750.2,0.06,604.9,1339.0,667.3,9.66,12.84,6,3,2.15,1.85,11.3,3.5,2.7
hutte,yt,714.3,0.21,509.0,1337.8,753.8,3.25,4.93,5,2,1.75,1,9.1,2.6,5.1
hyène,jEn,732.1,0.52,590.6,1255.4,864.4,1.64,1.76,5,3,1.85,1,9.5,2.6,6.2
hymne,imn,740.9,0.17,554.5,1378.4,764.2,5.37,6.69,5,3,2,1.75,10.1,3.4,4.0
il,il,706.5,0.06,509.3,1409.8,729.2,13223.34,15832.16,2,2,1.3,1,4.4,6.9,1.8
île,il,699.7,0.06,526.3,1254.3,625.2,50.2,83.58,3,2,1.85,1,6.4,3.3,6.4
ivre,ivR,741.6,0.17,522.0,1263.2,683.3,16.59,21.76,4,3,1.7,1.45,9.7,3.9,5.6
jambe,Z@b,612.7,0.03,485.3,1130.5,589.4,46.31,49.93,5,3,1.85,1.65,4.1,5.3,6.6
jarre,ZaR,744.8,0.35,514.1,1292.1,744.1,1.17,1.49,5,3,1.7,1,10.7,2.6,5.1
jauge,ZoZ,788.7,0.25,528.7,1155.7,NA,1.39,1.35,5,3,1.45,1.45,12.0,3.1,4.1
jaune,Zon,628.5,0.06,469.1,1114.5,604.1,21.91,95.47,5,3,1.65,1.4,3.8,4.5,6.0
jazz,dZaz,626.0,0.06,513.8,1105.4,632.3,7.38,8.11,4,4,1.95,1.75,9.9,3.6,4.6
je,Z2,588.3,0.06,453.0,1149.6,672.6,25988.48,10862.77,2,2,1.35,1,3.7,6.8,2.5
jean,dZin,576.2,0.00,526.7,1110.8,NA,3.62,6.96,4,4,1.9,1.75,8.0,5.4,6.3
jet,dZEt,624.4,0.06,485.9,1079.5,643.0,7.96,14.53,3,4,1.35,1.85,9.3,3.5,4.7
jeu,Z2,585.7,0.03,460.7,1026.0,577.6,156.79,130.68,3,2,1.55,1,4.2,5.1,4.9
jeune,Z9n,588.9,0.03,487.0,1117.3,590.9,253.06,450.41,5,3,1.8,1.7,6.5,5.3,5.5
jeûne,Z2n,690.2,0.06,500.4,1135.2,712.4,2.05,3.79,5,3,1.7,1.55,10.6,3.5,4.4
job,dZOb,627.8,0.03,471.1,1059.5,NA,27.24,2.43,3,4,1.65,2,11.7,4.8,4.8
joie,Zwa,568.6,0.00,472.6,1016.5,578.9,71.07,134.12,4,3,1.55,1,6.6,4.6,4.2
joindre,Zw5dR,639.1,0.00,468.2,1179.6,612.7,32.91,14.19,7,5,1.75,1.55,9.3,4.5,2.9
joint,Zw5,703.3,0.03,495.0,1139.0,650.0,9.46,10.27,5,3,1.75,1.15,10.4,4.3,4.0
jouable,Zwabl,753.2,0.26,485.4,1251.4,679.8,0.46,0.07,7,5,2.3,1.9,10.2,3.8,2.1
joue,Zu,611.1,0.03,456.7,1099.2,587.0,148.45,86.82,4,2,1,1,4.4,5.0,4.7
joué,Zwe,654.6,0.13,446.2,1117.5,615.8,70.73,34.12,4,3,1.3,1.2,4.6,4.6,3.3
jouer,Zwe,579.2,0.00,449.3,1077.7,551.8,225.84,121.82,5,3,1.2,1.2,3.9,5.0,4.5
jouet,ZwE,597.2,0.03,443.3,1091.7,572.2,11.82,7.03,5,3,1.45,1.1,3.7,4.7,6.4
joueur,Zw9R,607.3,0.00,466.0,1100.8,602.4,20.58,10.74,6,4,1.75,1.8,6.2,4.4,4.8
jouir,ZwiR,661.7,0.09,469.4,1149.0,612.7,10.42,15.68,5,4,1.65,1.5,12.8,4.4,4.2
jour,ZuR,582.3,0.00,435.1,1124.7,606.7,635.22,826.35,4,3,1.3,1,4.7,6.1,4.1
joute,Zut,772.6,0.46,479.5,1242.1,692.1,0.97,1.08,5,3,1.2,1,15.5,2.6,3.0
juge,ZyZ,658.7,0.09,510.5,1098.3,575.0,67.73,40.95,4,3,1.4,1.3,9.1,4.0,5.5
juin,Z85,645.2,0.17,445.9,1272.8,620.0,13.4,51.28,4,3,1.9,1.85,6.0,3.7,4.4
jungle,Z1gl,699.3,0.00,515.5,1153.4,635.5,16.25,7.43,6,4,1.85,1.95,6.5,3.0,5.8
jupe,Zyp,602.1,0.03,444.3,1085.6,555.8,10.12,34.05,4,3,1.65,1.4,4.9,4.6,6.5
jus,Zy,670.9,0.09,441.0,1076.2,653.7,22.36,23.04,3,2,1.25,1,5.2,5.5,5.8
jusque,Zysk,631.4,0.17,482.3,1214.5,NA,15.67,37.64,6,4,1.85,1.8,7.2,6.3,1.2
juste,Zyst,578.2,0.00,444.2,1112.8,605.4,923.56,278.04,5,4,1.7,1.7,6.0,5.9,2.1
kilt,kilt,741.0,0.42,539.9,1379.9,NA,0.5,0.68,4,4,1.7,1.6,10.8,2.6,5.3
kiosque,kjOsk,717.8,0.00,558.0,1174.8,717.8,3.95,5.88,7,5,2.6,2.4,9.8,3.9,5.4
kit,kit,711.3,0.35,481.8,1223.4,675.3,6.99,0.34,3,3,1.05,1,11.8,3.9,3.6
la,la,606.3,0.00,471.0,1259.0,727.8,16028.08,24877.3,2,2,1,1,4.1,6.9,2.0
là,la,586.2,0.03,439.8,1216.0,599.8,2135.06,1093.92,2,2,1.5,1,5.5,6.7,1.6
lac,lak,542.7,0.03,465.8,1104.4,569.6,31.16,32.84,3,3,1,1,6.2,3.4,6.5
lâche,laS,644.7,0.00,463.2,1163.7,663.8,119.47,29.99,5,3,1.3,1,9.6,4.0,2.7
laid,lE,610.6,0.06,480.3,1172.5,672.0,10.45,11.9,4,2,1.35,1,7.4,4.4,4.4
laine,lEn,663.1,0.00,466.5,1165.0,681.1,6.27,34.86,5,3,1.15,1,6.4,3.7,6.5
laisse,lEs,667.5,0.06,501.9,1264.2,690.3,549.51,162.16,6,3,1.45,1,5.7,5.8,3.3
lait,lE,602.2,0.00,433.8,1204.2,562.5,59.41,62.23,4,2,1.3,1,4.1,5.5,6.4
lame,lam,648.0,0.09,465.9,1291.3,612.2,11.05,25.81,4,3,1,1,7.5,3.9,6.1
lampe,l@p,605.7,0.00,463.6,1167.5,602.2,22.48,71.15,5,3,1.2,1,4.9,5.3,6.8
lance,l@s,646.7,0.09,482.2,1131.9,747.9,30.5,28.65,5,3,1.45,1,7.0,4.3,5.3
langue,l@g,640.4,0.00,452.9,1235.5,656.2,58.95,103.78,6,3,1.5,1,4.5,4.8,6.6
laque,lak,785.5,0.25,470.7,1231.2,696.9,0.81,2.29,5,3,1.25,1,9.4,3.5,5.8
lard,laR,670.8,0.03,486.9,1188.8,667.6,8.49,11.01,4,3,1.1,1,9.0,3.5,5.3
large,laRZ,599.7,0.03,478.0,1122.5,579.1,22.63,106.15,5,4,1.45,1.5,6.9,4.9,3.8
larme,laRm,599.1,0.09,501.6,1155.0,615.4,5.15,10.81,5,4,1.5,1.4,6.0,4.4,6.3
larve,laRv,693.6,0.25,501.4,1165.8,676.1,1.92,1.69,5,4,1.6,1.6,9.0,2.9,5.2
las,la,723.3,0.42,486.7,1138.1,708.5,8.21,24.39,3,2,1,1,11.2,3.2,2.1
latte,lat,741.0,0.40,473.9,1291.6,717.8,0.85,2.03,5,3,1.2,1,10.1,3.0,4.9
lave,lav,652.9,0.03,486.1,1203.7,698.3,19.99,10.82,4,3,1,1,7.2,4.2,5.0
le,l2,567.5,0.00,441.4,1233.2,597.8,16953.5,20735.14,2,2,1,1,4.1,6.9,1.5
lent,l@,575.4,0.06,482.7,1191.4,604.7,9.15,23.31,4,2,1.4,1,6.4,4.9,3.8
lente,l@t,636.4,0.00,478.8,1102.4,573.8,5.32,22.7,5,3,1.25,1,6.7,4.8,3.6
lèpre,lEpR,817.9,0.13,503.4,1154.0,771.4,1.4,3.51,5,4,1.9,1.8,11.4,2.5,3.2
les,le,603.4,0.06,490.0,1158.6,661.3,9961.13,16074.53,3,2,1,1,4.6,6.7,1.3
lettre,lEtR,606.0,0.03,487.2,1237.6,608.5,108.79,140.88,6,4,1.75,1.2,5.5,5.0,6.2
leur,l9R,660.7,0.13,462.4,1191.5,675.3,283.81,427.5,4,3,1.5,1,6.1,6.6,1.3
leurre,l9R,753.7,0.30,513.5,1433.4,809.8,2.48,2.36,6,3,1.7,1,12.4,3.3,2.5
lèvre,lEvR,783.9,0.36,467.8,1106.3,673.8,4,20.74,5,4,1.7,1.35,5.1,4.8,6.7
liane,ljan,764.6,0.25,482.7,1263.2,770.4,0.34,1.08,5,4,1.65,1.65,8.0,2.7,5.7
liasse,ljas,735.4,0.17,492.0,1380.8,740.9,0.65,7.36,6,4,1.8,1.5,10.1,3.2,5.1
libre,libR,635.6,0.03,467.5,1181.2,640.0,110.36,130.14,5,4,1.6,1.5,7.8,4.8,3.2
lie,li,757.6,0.42,456.8,1236.3,NA,4.78,5.41,3,2,1,1,10.3,3.0,2.7
lié,lje,682.4,0.13,477.2,1238.5,671.9,13.51,12.17,3,3,1.3,1,8.7,4.6,2.8
liège,ljEZ,703.9,0.09,486.8,1197.2,730.8,0.46,3.58,5,4,1.7,1.7,9.0,3.3,5.3
lien,lj5,630.6,0.03,446.0,1184.8,567.8,23.47,18.18,4,3,1.25,1.25,8.0,4.9,3.8
lieu,lj2,578.4,0.03,460.5,1135.0,592.7,153.12,213.38,4,3,1.3,1.2,7.3,5.2,3.2
lièvre,ljEvR,692.3,0.13,464.8,1301.8,664.2,3.36,4.73,6,5,1.75,1.8,6.5,3.1,6.7
light,lajt,678.4,0.42,545.2,1192.9,764.1,3.76,0.27,5,4,1.95,1.95,12.1,4.4,3.0
ligne,liN,645.0,0.00,461.7,1125.6,590.6,69.42,101.01,5,3,1.15,1,6.0,5.0,5.4
ligue,lig,699.5,0.09,464.0,1256.9,702.4,2.9,1.62,5,3,1.15,1,12.1,3.6,2.9
lime,lim,703.2,0.40,481.5,1252.5,755.7,1.85,3.59,4,3,1,1,8.8,3.6,5.7
lin,l5,698.9,0.35,461.2,1268.0,694.3,1.76,6.01,3,2,1,1,11.3,3.2,4.3
linge,l5Z,655.5,0.06,466.2,1122.3,636.8,16.75,44.53,5,3,1.5,1.45,6.6,5.0,6.0
lion,lj§,577.2,0.06,459.4,1161.7,616.4,14.58,20.14,4,3,1.55,1.05,4.4,3.1,6.9
lire,liR,639.3,0.09,458.0,1237.6,621.5,99.48,112.43,4,3,1,1,5.5,5.8,4.7
lisse,lis,696.9,0.03,476.2,1196.1,649.0,3.2,27.91,5,3,1,1,8.0,4.1,4.8
liste,list,604.1,0.06,453.7,1152.0,618.2,69.07,18.92,5,4,1.4,1.1,7.2,5.0,5.1
lit,li,627.4,0.03,475.4,1182.1,606.2,190.32,340.6,3,2,1,1,3.8,5.9,6.8
litre,litR,688.4,0.00,448.6,1307.6,731.9,2.75,10.2,5,4,1.4,1.05,8.0,5.1,4.7
livre,livR,641.5,0.09,466.6,1101.4,661.8,121.81,161.15,5,4,1.2,1.35,4.4,5.9,6.6
lobe,lOb,717.6,0.17,485.9,1261.5,768.9,2.84,1.35,4,3,1.3,1,10.2,3.8,5.5
loft,lOft,719.5,0.14,532.3,1241.1,NA,1.11,0.47,4,4,1.7,1.8,13.8,3.5,5.3
loge,lOZ,706.8,0.21,494.6,1118.1,609.8,15.78,21.29,4,3,1.05,1.15,9.3,3.2,4.7
loi,lwa,583.4,0.03,472.4,1149.2,568.8,87.37,44.46,3,3,1,1,8.9,4.8,3.5
loin,lw5,564.7,0.03,452.3,1150.4,553.2,248.34,452.36,4,3,1.55,1.25,5.6,5.4,3.1
long,l§,553.0,0.06,467.4,1080.9,571.2,101.06,324.32,4,2,1.65,1,5.2,5.7,3.8
look,luk,620.2,0.13,444.9,1080.9,NA,10.47,1.82,4,3,1.9,1.1,10.0,4.8,3.6
lors,lOR,631.5,0.09,489.5,1177.8,666.0,35.79,70.27,4,3,1.1,1,8.8,5.8,1.5
lorsque,lORsk,629.3,0.00,488.7,1061.8,605.5,49.36,207.16,7,5,2.4,2,8.0,6.4,1.3
lot,lo,606.1,0.10,442.7,1155.8,596.5,11.87,15.68,3,2,1,1,8.1,4.0,4.2
louange,lw@Z,753.7,0.06,516.5,1160.0,751.0,0.97,1.89,7,4,1.65,1.65,10.9,2.8,2.2
louche,luS,689.4,0.00,455.0,1247.2,588.9,8.78,10.48,6,3,1.25,1,7.5,4.1,6.2
loué,lwe,674.1,0.09,452.1,1247.1,587.8,16.58,8.05,4,3,1.05,1.15,10.5,4.2,2.6
louer,lwe,589.3,0.00,449.2,1117.3,629.5,15.03,7.57,5,3,1,1.15,9.9,4.1,3.2
loup,lu,605.1,0.00,428.7,1080.5,657.7,20.97,22.3,4,2,1.45,1,4.7,3.4,6.8
loupe,lup,674.9,0.03,465.3,1138.1,671.9,2.39,6.75,5,3,1.15,1,7.0,3.8,6.3
lourd,luR,598.3,0.00,448.6,1143.7,612.1,27,66.01,5,3,1.7,1,5.5,4.9,4.4
loutre,lutR,717.2,0.36,479.1,1331.5,743.7,1.3,1.35,6,4,1.65,1.55,8.6,2.6,5.8
lu,ly,614.0,0.10,451.9,1276.4,622.7,83.1,59.52,2,2,1,1,8.4,5.6,2.5
lueur,l89R,691.3,0.06,501.1,1214.4,657.5,5.37,49.12,5,4,1.7,1.7,9.9,3.3,4.0
luge,lyZ,794.7,0.26,461.5,1208.2,660.7,1.19,1.42,4,3,1.5,1.3,5.7,2.9,6.6
lui,l8i,612.4,0.03,462.7,1209.3,643.9,2314.15,4235.68,3,3,1.05,1.25,5.3,6.6,2.2
lune,lyn,577.7,0.00,441.0,1192.5,639.8,58.29,63.24,4,3,1.25,1.3,4.7,4.3,6.7
lustre,lystR,676.2,0.06,469.2,1302.6,643.9,1.1,7.44,6,5,1.7,1.7,8.9,3.6,6.4
lutte,lyt,627.0,0.03,438.3,1261.5,592.4,25.95,42.09,5,3,1.45,1,8.8,4.0,3.8
luxe,lyks,569.3,0.03,469.9,1108.2,554.6,15.52,38.92,4,4,1.5,1.6,9.7,4.1,4.3
lymphe,l5f,722.1,0.03,509.8,1321.7,NA,0.2,0.41,6,3,2.4,1.6,13.4,2.6,3.5
lynx,l5ks,659.9,0.13,526.5,1198.5,734.3,1.73,1.22,4,4,2.25,1.9,9.4,2.7,6.2
lys,lis,698.8,0.21,475.3,1133.3,678.4,2.41,3.38,3,3,1.6,1,9.8,2.9,5.8
mâche,maS,733.5,0.13,468.5,1203.0,665.3,2.18,2.36,5,3,1.25,1,8.6,4.0,6.0
mai,mE,581.3,0.03,435.4,1221.6,595.4,24.34,45.88,3,2,1,1,5.6,3.6,3.6
maigre,mEgR,664.1,0.00,455.9,1257.5,663.9,13.05,46.08,6,4,1.7,1.65,7.0,4.5,5.7
maille,maj,664.5,0.17,477.9,1316.8,743.8,0.71,2.84,6,3,1.15,1,9.1,3.1,4.6
main,m5,597.5,0.00,448.3,1174.5,698.6,286.62,788.72,4,2,1,1,3.6,5.8,6.8
maire,mER,735.7,0.46,474.8,1421.4,747.0,27.91,13.11,5,3,1.2,1,8.1,4.0,5.4
mais,mE,600.1,0.03,468.1,1191.5,762.8,5180.5,4465.27,4,2,1,1,5.3,6.7,2.1
maître,mEtR,630.2,0.00,456.5,1184.4,633.3,121.16,130.4,6,4,1.75,1,5.3,3.9,4.6
mal,mal,574.4,0.00,466.0,1176.5,540.2,786.04,545.82,3,3,1,1,4.2,5.8,2.8
mâle,mal,605.4,0.03,452.8,1206.3,611.7,11.06,15.95,4,3,1.4,1,7.9,4.0,5.2
malle,mal,754.4,0.40,478.7,1339.6,719.5,6.53,10.27,5,3,1.25,1,8.1,3.2,6.0
malt,malt,701.1,0.46,449.9,1301.5,NA,0.68,0.14,4,4,1.65,1.3,13.1,2.7,2.5
manche,m@S,672.5,0.00,480.6,1284.7,648.0,10.12,35.41,6,3,1.55,1,5.7,4.5,6.7
mangue,m@g,737.8,0.06,482.7,1308.1,NA,0.73,0.74,6,3,1.6,1.2,10.3,3.0,6.4
manque,m@k,641.1,0.03,469.1,1205.9,678.2,123.25,77.77,6,3,1.45,1.15,6.5,5.6,2.6
marbre,maRbR,668.6,0.00,513.3,1258.8,743.9,6.38,41.69,6,5,1.65,1.75,9.7,2.9,5.4
marche,maRS,615.3,0.00,461.3,1211.9,612.6,201.32,158.38,6,4,1.6,1,4.7,5.5,5.5
mare,maR,794.1,0.31,486.5,1337.5,702.2,3.66,10,4,3,1,1,6.4,3.9,5.0
marge,maRZ,692.3,0.06,499.7,1254.1,640.4,14.21,12.64,5,4,1.25,1,7.7,4.1,4.7
marque,maRk,605.6,0.03,474.4,1250.7,690.2,32.21,37.77,6,4,1.4,1,8.1,5.0,4.1
mars,maRs,601.4,0.03,487.1,1209.3,676.2,9.75,31.42,4,4,1,1,6.5,3.7,4.5
masque,mask,631.8,0.00,446.9,1143.7,680.6,23.66,30.68,6,4,1.35,1,5.9,3.7,6.6
masse,mas,612.8,0.03,461.1,1130.7,634.4,12.89,62.57,5,3,1,1,9.4,4.0,4.1
mat,mat,720.2,0.35,454.2,1241.7,795.2,5.44,10.61,3,3,1,1,9.6,3.2,4.5
mât,ma,637.3,0.10,473.2,1133.2,648.0,1.47,5.95,3,2,1.55,1,9.2,3.1,5.3
match,matS,613.4,0.03,495.0,1232.6,625.4,58.26,9.39,5,4,1.65,1.1,7.2,4.6,5.8
maths,mat,694.9,0.06,480.3,1290.0,624.6,10.66,3.38,5,3,1.65,1,6.5,5.2,5.0
mauve,mov,743.5,0.06,477.7,1294.6,670.2,0.86,14.4,5,3,1.8,1.45,7.7,3.4,5.3
me,m2,580.0,0.06,460.5,1321.0,795.1,4932.05,4264.32,2,2,1,1,5.1,6.4,1.2
mèche,mES,661.2,0.06,449.7,1210.3,635.4,8.21,19.12,5,3,1.55,1,7.6,4.4,6.5
membre,m@bR,672.1,0.03,451.6,1288.9,639.3,26.72,15.2,6,4,1.9,1.65,8.1,4.4,3.6
même,mEm,576.3,0.00,458.5,1159.5,589.8,1320.19,2120.2,4,3,1.7,1,5.8,6.3,2.0
menthe,m@t,637.8,0.09,472.5,1286.3,626.2,5.21,9.39,6,3,1.9,1,6.0,4.3,5.9
mer,mER,578.6,0.00,488.5,1130.5,564.5,99.49,246.55,3,3,1.2,1,4.7,3.5,6.9
mère,mER,653.0,0.03,456.0,1221.7,610.0,672,737.09,4,3,1.25,1,4.4,5.7,6.4
merle,mERl,696.4,0.21,484.7,1291.8,694.8,1.8,2.64,5,4,1.6,1.4,8.1,3.1,6.1
mes,me,640.9,0.17,440.9,1183.3,748.6,1102.73,1023.11,3,2,1,1,4.9,6.9,1.5
messe,mEs,678.1,0.09,487.8,1167.8,693.6,16.14,32.7,5,3,1.5,1,8.0,3.5,5.7
mètre,mEtR,668.7,0.00,446.7,1234.5,613.5,6.1,22.29,5,4,1.85,1,7.7,4.6,5.0
mets,mE,720.7,0.25,495.0,1267.7,669.9,196.92,41.69,4,2,1.1,1,8.7,4.4,2.3
mettre,mEtR,692.1,0.03,446.0,1358.5,667.3,271.05,230.2,6,4,1.65,1,5.1,5.4,2.5
meuble,m9bl,599.1,0.00,480.7,1213.1,590.4,2.71,15.27,6,4,1.65,1.75,6.2,5.4,6.6
meule,m2l,758.4,0.21,476.0,1402.0,746.5,1.19,4.87,5,3,1.35,1.35,10.2,4.0,5.2
meurtre,m9RtR,709.3,0.06,515.9,1313.0,676.0,81.94,12.3,7,5,1.85,1.9,8.7,3.3,4.1
mi,mi,715.2,0.21,443.0,1291.6,NA,8.97,5.61,2,2,1,1,8.0,3.9,2.8
miche,miS,769.7,0.17,473.4,1357.7,705.6,0.7,4.59,5,3,1.4,1,9.0,3.3,5.0
mie,mi,651.0,0.10,462.4,1239.1,728.7,1.39,5.68,3,2,1,1,6.0,3.7,5.8
miel,mjEl,570.3,0.00,445.5,1169.0,588.8,18.03,16.49,4,4,1.6,1.4,6.2,4.3,6.7
mien,mj5,627.5,0.06,466.0,1264.1,724.7,55.67,36.82,4,3,1.5,1.5,4.7,5.3,2.0
miette,mjEt,683.5,0.03,459.1,1294.0,669.4,2.54,4.12,6,4,1.7,1.4,5.5,5.7,6.5
mieux,mj2,605.6,0.00,446.3,1184.6,622.4,705.85,437.37,5,3,1.65,1.5,6.2,5.3,2.2
mille,mil,764.5,0.30,456.4,1386.1,698.6,81.59,169.73,5,3,1.15,1,7.2,5.6,4.6
mime,mim,782.4,0.25,454.6,1311.8,736.5,5.45,1.76,4,3,1,1,8.0,3.8,4.8
mince,m5s,608.9,0.00,459.4,1266.1,650.4,28.72,63.18,5,3,1.7,1.2,7.5,4.2,5.5
mine,min,702.0,0.03,463.0,1260.5,685.1,38.97,52.44,4,3,1,1,7.4,4.4,5.0
mioche,mjOS,725.1,0.13,468.6,1338.3,803.5,0.54,1.08,6,4,1.8,1.8,9.8,3.9,4.5
mis,mi,681.6,0.30,450.8,1236.0,720.8,241.23,258.18,3,2,1,1,6.2,4.5,1.6
mise,miz,703.0,0.25,449.2,1356.3,643.1,67.92,85.61,4,3,1,1,8.4,4.9,2.3
mixte,mikst,651.5,0.00,456.0,1192.3,605.0,2.23,2.3,5,5,1.75,1.65,9.7,4.4,3.3
mode,mOd,621.6,0.06,444.6,1158.5,636.0,30.79,46.96,4,3,1.3,1.2,8.6,4.6,4.4
moelle,mwal,699.0,0.13,516.5,1317.1,705.7,4.21,5.34,6,4,1.8,1.45,10.5,4.2,4.4
moeurs,m9Rs,682.3,0.06,498.0,1344.7,628.8,3.08,21.08,6,4,1.8,1.75,12.6,3.5,2.0
moi,mwa,553.1,0.00,456.3,1086.4,594.8,3696.27,1880.95,3,3,1.1,1,3.8,5.1,4.3
moindre,mw5dR,668.2,0.00,452.9,1272.9,651.8,46.74,116.96,7,5,1.8,1.85,11.1,5.4,1.6
moine,mwan,666.4,0.06,504.4,1292.8,609.0,8.21,18.04,5,4,1.65,1.5,8.3,3.6,6.0
moins,mw5,623.4,0.03,465.8,1202.7,581.8,489.1,735.21,5,3,1.5,1.45,5.2,4.5,2.2
