item,Phon,LDTrt,LDTpe,NMGrt,PDMrt,FLPrt,freqfilms,freqbooks,Nlett,Nphon,OLD20,PLD20,AoA,Freqsubj,IMA
encre,@kR,763.9,0.17,535.1,1169.3,668.6,6.5,28.85,5,3,1.65,1.2,6.5,4.5,5.9
entre,@tR,665.9,0.10,485.0,1227.0,734.9,456.8,892.77,5,3,1.35,1,5.6,6.5,2.0
est,e,625.0,0.06,523.6,1062.9,645.6,22823.25,7984.12,3,1,1.45,1,5.3,6.5,2.7
et,e,589.1,0.00,509.2,1196.7,649.3,12909.08,20879.73,2,1,1.05,1,4.0,7.0,1.4
être,EtR,618.6,0.06,515.5,1206.2,623.0,1915.56,1268.44,4,3,1.85,1.3,5.8,6.5,1.8
eux,2,590.1,0.00,502.5,1122.1,627.7,295.35,504.26,3,1,1.25,1,5.9,6.3,2.0
fa,fa,721.8,0.46,431.6,1232.0,826.7,5.23,1.08,2,2,1,1,8.0,2.9,2.9
fable,fabl,678.1,0.03,493.3,1255.2,703.6,1.79,5.81,5,4,1.55,1.45,7.2,3.3,4.6
fac,fak,578.1,0.03,428.9,1086.7,612.5,28.94,2.09,3,3,1.05,1,12.8,6.5,6.2
face,fas,618.8,0.03,462.1,1173.4,636.7,124.33,262.16,4,3,1.35,1,7.0,5.2,3.9
fade,fad,760.1,0.17,451.7,1255.8,655.1,1.51,11.02,4,3,1.2,1,10.5,3.7,3.0
faible,fEbl,642.4,0.00,451.0,1246.2,623.0,37.52,46.02,6,4,1.8,1.8,7.5,4.8,2.7
faille,faj,724.7,0.09,483.9,1277.8,717.0,5.68,9.39,6,3,1.25,1,10.9,3.4,4.1
faim,f5,588.7,0.06,442.0,1286.8,674.3,127.49,74.93,4,2,1.75,1,4.2,6.6,4.7
faire,fER,681.1,0.03,440.9,1174.3,661.1,2735.96,1555.14,5,3,1.4,1,4.9,6.4,2.5
fait,fE,579.0,0.00,434.1,1183.9,571.5,3166.2,1811.83,4,2,1.1,1,5.8,6.5,2.2
fan,fan,650.0,0.06,431.2,1158.5,641.0,13.27,1.49,3,3,1,1,9.8,4.7,3.9
faon,f@,709.2,0.35,524.4,1218.4,NA,0.25,0.54,4,2,1.65,1,6.7,2.7,6.1
farce,faRs,711.6,0.17,489.3,1158.0,670.5,7.5,9.13,5,4,1.5,1.4,6.9,3.5,4.6
fard,faR,685.1,0.46,464.4,1218.0,NA,1.44,4.73,4,3,1.3,1,10.9,3.4,4.6
faune,fon,682.3,0.13,452.6,1195.9,727.5,1.47,5.95,5,3,1.6,1.2,9.5,3.1,4.7
faute,fot,647.5,0.06,423.5,1188.4,660.8,163.47,81.89,5,3,1.35,1,5.7,5.4,3.7
fauve,fov,667.7,0.09,425.4,1115.0,636.2,1.49,14.8,5,3,1.75,1.55,8.4,2.9,6.0
fax,faks,596.5,0.17,447.6,1036.2,601.3,5.59,0.14,3,4,1.25,1.3,11.6,3.8,5.1
fée,fe,599.3,0.06,442.6,1127.2,616.2,8.3,6.62,3,2,1.75,1,5.0,3.3,6.3
feindre,f5dR,792.3,0.17,451.1,1276.0,677.2,1.23,4.39,7,4,1.7,1.5,12.1,2.9,2.4
feinte,f5t,793.7,0.31,478.3,1354.2,763.2,1.94,6.35,6,3,1.55,1.05,11.1,3.5,3.3
femme,fam,584.5,0.00,469.7,1177.5,600.6,806.57,680.2,5,3,1.8,1,5.5,5.9,6.7
fendre,f@dR,754.5,0.35,450.7,1305.2,759.4,2.49,6.89,6,4,1.45,1,9.8,3.5,3.3
fente,f@t,686.2,0.06,452.9,1197.7,771.6,3.61,10.54,5,3,1.3,1,8.5,3.5,5.0
fer,fER,569.7,0.00,440.2,1107.2,594.2,33.65,106.28,3,3,1.4,1,7.2,3.8,4.7
ferme,fERm,624.2,0.00,448.9,1123.6,593.1,178.12,115,5,4,1.2,1,5.0,4.4,6.1
fête,fEt,586.6,0.00,446.5,1146.3,597.6,144.49,72.23,4,3,1.45,1,5.8,5.0,6.0
feu,f2,564.9,0.00,425.4,1071.8,602.8,237.8,215.47,3,2,1.3,1,4.9,4.7,6.6
feuille,f9j,639.5,0.00,458.9,1193.8,624.8,13.24,46.35,7,3,1.65,1.3,4.8,5.8,6.8
feutre,f2tR,712.7,0.03,455.9,1216.2,623.0,1.34,13.45,6,4,1.6,1.7,4.5,4.1,6.5
fiable,fjabl,683.0,0.21,459.5,1303.9,636.4,5.36,1.08,6,5,1.7,1.8,11.3,4.1,2.7
fibre,fibR,663.8,0.06,456.0,1202.1,617.8,2.67,2.5,5,4,1.7,1.65,11.2,4.0,3.9
fiche,fiS,733.9,0.35,462.6,1272.7,715.2,68.4,17.98,5,3,1.25,1,8.0,5.3,5.1
fier,fjER,713.2,0.06,449.5,1189.3,739.9,52.57,36.28,4,4,1.25,1.1,8.1,4.5,3.0
fièvre,fjEvR,668.6,0.03,458.2,1208.7,651.0,24.23,38.58,6,5,1.8,1.8,6.4,3.6,4.2
figue,fig,778.2,0.35,457.1,1167.5,715.0,3.44,1.28,5,3,1.4,1,9.3,3.2,6.2
fil,fil,656.8,0.06,431.8,1241.2,617.2,51.83,75.95,3,3,1,1,5.7,4.5,6.2
file,fil,746.0,0.46,443.5,1263.2,704.2,58.71,39.33,4,3,1,1,7.4,4.2,4.5
fille,fij,628.0,0.13,464.5,1336.3,650.9,627.59,417.03,5,3,1.25,1,4.0,5.9,6.3
film,film,617.0,0.00,431.0,1274.9,541.8,195.1,49.53,4,4,1.55,1.05,5.7,5.4,5.9
fils,fil,624.6,0.03,454.9,1217.2,662.8,493.24,271.42,4,3,1.1,1,5.6,5.2,5.2
filtre,filtR,702.6,0.09,444.8,1350.9,741.3,4.25,4.86,6,5,1.7,1.55,9.1,4.0,5.6
fin,f5,589.1,0.09,415.3,1112.9,604.5,222.44,338.65,3,2,1,1,5.2,5.4,3.1
fiole,fjOl,715.8,0.21,463.6,1290.6,756.4,1.5,3.11,5,4,1.8,1.75,10.6,2.7,5.1
firme,fiRm,737.8,0.42,473.1,1248.3,729.6,4.07,1.96,5,4,1.8,1.45,13.1,3.2,2.6
fisc,fisk,751.7,0.46,461.7,1242.4,753.8,2.53,1.28,4,4,1.9,1.65,14.1,3.0,2.8
fixe,fiks,599.7,0.06,436.4,1118.3,586.8,15.97,40.61,4,4,1.2,1.3,8.4,4.7,3.0
flair,flER,745.9,0.35,472.0,1201.1,672.6,2.32,4.8,5,4,1.75,1,9.4,3.4,3.0
flamme,flam,619.8,0.03,457.5,1320.6,640.6,12.61,38.38,6,4,1.75,1.15,6.2,4.0,6.6
flanc,fl@,658.1,0.11,459.5,1236.4,647.1,4.01,29.53,5,3,1.7,1,10.0,3.3,4.4
flaque,flak,776.3,0.25,492.1,1318.0,735.8,2.31,10.07,6,4,1.7,1.1,5.5,3.8,6.1
flash,flaS,598.3,0.06,452.8,1118.0,589.3,7.78,4.59,5,4,1.65,1.1,8.6,4.1,5.5
flasque,flask,760.2,0.17,500.9,1291.3,683.4,0.98,6.42,7,5,1.75,1.85,11.7,3.2,3.6
flèche,flES,600.9,0.03,449.0,1198.6,557.4,8.21,15.54,6,4,1.75,1.5,6.2,3.4,6.7
flemme,flEm,800.3,0.46,442.1,1359.9,850.1,0.49,1.62,6,4,2.05,1.6,10.4,5.2,3.0
fleur,fl9R,600.7,0.00,439.8,1118.7,587.7,25.2,42.97,5,4,1.7,1.1,4.1,4.8,6.8
fleuve,fl9v,631.0,0.03,447.7,1188.5,600.7,19.81,39.32,6,4,1.8,1.8,7.3,3.5,6.2
